element,kanjilist
口,稾謨講羶謀謔欹蹲躙攘倹攤羂褸悚椁検蟯蜷柬啼蟠誡詭濶黥衰嵒縷詢誉脱吁閭吩愴鮎京豈饐嫡饋嘗禍徊逅瀛摑嘖速跿享吏箇君蚩哺略鮖閣輅詣橲衙詮蚕誠聟啻鎬獺恕獣珈單個砠磚體破欟謁欄騷謚稿謎欒蹙謗始奇燈酲鵑簽褓綺喉孃蜴鎧聒蜻蜈詼筒嶽読橘哩蛎畧嶝名乱壤洛蒼固揖靈嘔靠嘛禀嘩福貉逞擅壹娯跳嫗壑暾狷嶇蚶爛后蛍哨吃嵐橙詠梠誣詈點獻蜉宕啣褒悁廓槨瘋垢酪燉謂蹤磯權躪謖砺竦竒磔砧蹴蹠頭謝磐蹈髞倚酷煦龕僻熹絅富簣簷喘廚絹啾鶚鐓蟒鍼喫蜥檢桾詰詫箴吊虹臠蛆當哘閤蒟壕贏亮部撼逗烱烙蒿茴兢葆凉嘸亭嫦豪祝彎淳袈占號卻吝蛇蚓嵩嵜誦檮詬迴衷話檣蚊聖喬蜘蜿悟悋寄結喙照藹倍攣頷蹉蹼磑磬砲謇砦稠罐蹣頼謌謹頡砿磧罟髫罸奩如羇倨藪悒椋廠柯喧惆喪胎蟹就詳黠蚌答梧誤吟吋吸吐箚誘各堡祐跨彁饕禳操瞠嘆茣鞫贍践洞跼哽蛋向哲蚰吹同蛄虞誥試蚋檠説誹峪該惇蟐綰椅糖害醢躡蹶砥謐謄髑磁碵翕驕減碼碩飄護薜驩敞碕舘藁碁幅鱚螺覘唖蝨鯛巒澡鹹蛮呶匐甓哉痘甞鉤右浴婁仲嚮噴灣炯凱嚢石荅韶捨婀壌掎史憩哈呷蛭咯岩言笳繕諺鹸裙樹諷訛剱蝕枳束鴿覬嬢融螂圜蕚苦蕎拮蕗癰踐颱踟薔姑殫踝骼譯譴滴歙數険碍苫苟蕁籌極使緯蝗剳螻怠蟀鑵蝎璧銘裳憚樓局裾訂樞訖笥鬻蛛膽痾蛯呵蛔纔麌台憺咢呼呉壇莟囈萵掵韻噺嚠萼掻菅償避揀凾餬駒甌呈呻叱蘭膳懍蠑託潯蠅訃笘棺蠹麿討嗷唏怡猗唔劬割糊籟嬉鷸圍碗若招故埼碚碎圖驚飆確踊殪驗薗證踞髏碾窩譱斂軻磊颶譬碇碓敕園拐楫幗幃籔鴣鑰唸唐枴怙唄嗾居轡訓蠕訊潰黏甜牾懆叩蛬蛹呰餉礫塩遠嚥儔矼擣灘噪礬礙掌涸塔呱蛸昭蛟叨蛤臂憾峇訝辣蠏諱憇岾剣嗽蝓蟋唹加蟄襠劈螟襴苛陪圓苔括戲偉碆譫識磆歡飃硅議穃磋警額譲踏譽窶戰登窖讙拓緝襭佶蝌惹蟆店螽唇劭枷杏鑾惑創訐蠖諾膏訟鬲諳蠍咤闘叶呪咸咫痼味慝膨駕壁礪霑搶噬捐遣遺搭点霹擡噤捌擔蓑噫落駛忠邉墻強礦蛞叺咬号咥痴命巖澹蠎訌膕櫺鬪辯架剴唆蟇蝟胡副蝸蝋螳嬾寤紿碌圄僉險興國鄂碑滾風磅驅硝渟顎皓碯踰譖敲舌船戀敦燕劒幤佝嬖粘售剌嗔蝉螢計註笞咀諮訴棠諚咏匱咨哀呎礎足駱還浩趾擱囂嚶擘囃噛器捉囎儲谷邑谺駘賠塾鉐匿品咼呂闡辟只蠧濁諭論鯨諢証環剋蝴嗜榕蝠槁鷲襞鄲癌讀斫舸舐穰鼓譚譎譜硯碣踪歐隕譁硴敬舒燭讖殞佑襌蝶鏑嗚勅嗣枸唯診諠繭銅諛轅咎訣蠱蛩呀召澎周句塙涼跋掠嚼噂据韜囁囀嚴噎超知荳跌礁嚏嚔串塘嚀哂古匳蘗闢辞痞司叫蛻纈訶轄諜格諡設蝮剞蝣螯鏤楜襄籥槍或讃鄙燮讎窘讚殆釦毆顫歌隔渮硼譏譛颪穣譟顴硬滸僂停讓整舎舗域癖變促粭緘劔嬋覗怐蝪螫唱錮侃鬟咆銛咒蠻咲曩咽可呑牆賞礑中館谿儼儉違適荷矯儻露灌淌跏氈蛙咾呟慥哇咳諤崎訪屬諸諫繦訳蠡劼蝦珸剖枯鑄嬌何侶襁舖培敵拘舍焙讒拿姶滬譌碧渦鼕硫歛碪硲踵踉颯癩讐殕營薹襃楝榱寰鱧粡觀瑚蝿嗹許轗繰和訥蠣櫚諦裔轎犒諒狆叮鉛蛾慾呆臉礒嚊跂嚇噸噐邵凜涓韓短過凛矚損噌儺嚆趺礇澄辜叭告憬哄裕咄記咐諧憙咋諞蠢蠶膈勍唳珞嗟唾嗤鑓蝙胴猿紹榿楓鷺劍讌拾做皷傴燥踈驤歎穡踴叱皚湖髻蹊羣齬醇站蹇謡研騎躋雕蔀蔔躄藷拈扣喃保触客鶫喚蜂啀蜍問柘迦桔鸞諏誨哮懶吠蛉晧合吻愕賂沾河祠跫影壽跟豁禮嘶兄亟貂克事兌冲週這摘嫩彫沽厰哢畸誕鋸吼吉畐檐袞哭蚯誼筥疇啜鐵蜚営鐡勸患蜃蟻宮簑絮鰔估廱溏躑躅砕謠磴蹟毫醐磨蹐妬溶蹄艱溂藻躊雖扈躓艙躇喀綢常伽絡簓鐺啗別喨喻蜜蜩蟶獨詛迥濠詔誚吮晤狗梏沿堝貼亳跪郤革凋逧茹葺嘉凅嘯馘瞽嘴茄蓉活距賀貴豎蚣員虻誂狢吭吶臙認諍橋評詁諂漢尚衞詩蟷鍄珂鐶鍋蜀喩啖鳴觸喜僑盒難齪砂欲稟蹌熔軆程謳龠蹕熟飴砒謾齣阿瘡躍鎗伺鰊簍鍔啝嗅恪蟾商官櫃詑管課虫懿哥吽闌否檗區蚪況亶豊跖沼靄囓嘘况瀾瞶回葦鞳挌郡嘱烹冨瀲党娟治跣彭瞎跚豆冏堂語虱景臨誓鋭吾誇袁談詐嶮鸛濤獄啓蜑喰蟲獸嗄鵠善喋信喟容醴釀瘻飼群競齶謦羸滄蹂磽謫齠税砌騒抬躁僖倉艷酩廩俗帖喝孰俣鎔鰐椥啌恰蜊悪刮鶉啅鐙恫諌疎詒迚詆巉輻衛袷漱縞輯尋蚤鈷誑哦誅听蚫檀独誌厨感閲豐彈跡洳壷亜郭韋冶郢逼茗瞼沖菩瞻茖嘲造囑葫瀬禧亨豌禪洽貽跛路臺智誄含閾痂闊懽黨桐筈誰諄詞迢調櫁尅請蜒恬啄悦蜆嗇絽喇給喞喊廻簔攜艢藾躔高験謙謬罰
古,嫡箇個固兢罟倨蛄苦姑滴裾餬糊故踞鴣怙居涸痼胡剋蝴鏑据楜錮適枯敵瑚辜做湖克摘沽鋸估醐凅詁謫鈷葫尅
句,煦蒟跼檠鉤苟局駒劬驚警佝敬枸怐拘狗齣
只,枳咫
召,照髫韶招昭劭超邵紹貂詔沼齠迢
可,欹奇綺竒倚嵜寄謌羇柯彁椅碕婀掎痾呵猗埼軻苛舸訶剞歌渮荷崎何騎河畸珂阿哥
台,始胎颱怠怡苔紿笞駘殆飴治抬詒冶貽
史,駛
右,祐醢若惹諾慝匿佑
号,號饕
司,笥嗣覗祠伺飼詞
各,略閣輅畧洛貉酪烙咯蕗骼額落駱擱咎格露珞鷺客賂喀絡狢恪挌茖路
合,龕閤答箚翕荅哈鴿歙剳塔蛤峇搭粭拿姶拾盒鞳恰袷洽給
吉,橲熹廚詰結稠頡惆黠鱚鯛捨樹拮嬉襭佶膨擡鼓澎周纈舎舗劼鼕薹憙皷髻雕桔週彫鐵鐡綢簓蜩凋嘉瞽喜彭僖禧臺調
吊,嫦蟐常
同,筒洞興銅粡胴恫桐
名,銘酩茗
后,逅垢詬
吏,使
向,嚮餉
君,桾裙窘羣郡群
吝,悋
否,痞
含,頷莟
吾,衙悟梧唔牾寤圄珸齬晤語
呂,閭梠麿侶營櫚筥営宮絽
呆,褓褒葆堡棠襃保
呈,酲逞鐵程郢
呉,蜈娯誤茣虞麌
告,靠酷誥窖皓浩慥晧梏鵠造
呑,喬驕蕎矯嬌轎橋僑
周,稠惆鯛雕週彫綢簓蜩凋調
命,掵
和,啝
咢,鶚蕚萼鄂顎諤愕鍔齶鰐
咨,諮
咸,鍼箴撼減鹹憾緘轗鰔感喊
咼,禍萵窩蝸渦過堝鍋
哀,滾袞
品,嵒嘔嫗嶇髞奩操澡蕚樞甌懆噪驅癌歐毆譟繰傴燥藻謳區臨躁
員,韻圓隕殞損
哥,謌彁歌
唐,糖塘溏
善,繕膳
喜,橲熹鱚嬉憙僖禧
喬,驕蕎矯嬌轎橋僑
單,殫憚戰闡鄲襌嬋彈禪
嗇,檣薔墻牆穡艢
嚴,巖儼
囗,羶悃徊摑箇恩個褞鰮固禀擅瘟饂囲国茵茴図迴檣囿困滷圀圏鹹駟慍鹸圜薔薀圃蛔壇媼掴菌懍圍圖薗園幗膃涸麕圓痼墻膕圄國圉粤圈氤鹽鄙顫榲錮蘊咽牆泗氈姻團鹵凜凛穡因四箘団凅囮囚泅椢溷稟梱亶回烟廩檀囹嗇廻艢
囚,褞鰮瘟饂慍薀媼膃榲蘊泅
四,圀駟泗
回,羶徊禀擅茴迴檣薔蛔壇懍圖墻鄙顫牆氈凜凛穡稟亶廩檀嗇廻艢
因,恩茵氤咽姻烟
困,悃梱
固,箇個涸痼錮凅
国,掴椢
國,摑幗膕
園,薗
土,講垈湮垠蟯暑畤壓堰撓壞堤蓍睦握逹擇都睾徒跿報堙卦垉髯倒煮垣恚恃輊堪壤贅壟径待著贄壥饒蒔堽壑畦鐃鰭鵄垢坡稱熬褂経鰲壜壕挫蓋睡郵撻堺汢冉却檣橈綾坤垪倖坿奎煙坦廛肚鐸吐堵堡豬瞠堯壗場時藝溘酵垤坪軽基執在佳牡纎哉塞塊赱墟墅捏購赤壌走塒赫壅蛭楮幄幸燵陵窒苒埶戴驛姥薔譯姪渚驍埴劫怯篝甄纏蛯涯墳塋壇墾赦壊囈趙墓遘赳塑赧掛塹腟潴嗷庄幇埼薗陲截園塁起塩遠増境赭塔塀墺繊屋繞蟄硅薐敖緒澤繹纒懌赴媾壁趣社墜擡遶塚墨墻塗咥怪杜螳覯籖圸竃翹薯拷埖圉座闔墹塲越搆儲墫墸塾樫榁耆錘嗜圻埣陛殱窪鼇教埜圭粧耄耋轅塙賭超捶塰填塘曙屠者螯寺緻鷙傲埔埠圣圷竈陞域圧螫老崖牆澆墮趁遨涅達塵塡趨蛙咾膣哇崚諸侍猪圦培蕘燒埓盍陸偖地薹鏗耂崕栽栲痔特慳闥法嚇蓙塢珪考唾猿構覩燬埒渥穡毀坂藷啀疆鮭封哮至冓賍淕娃堅菱挂堋闍恠刧椡埀坎垂坩釋躇箸桎閨堝堆壙睹持韃凌壘堊懴袿桂詩到坏僥埃址城頚署垓齷垳坐蔆室琺街嶢瀦堂臻脚致袁裁峙勢坑溝埆熱稜奢型磽垰坊均埋褻等曉去堀再鞋逵茎摯睚堕臺載嗇鰹艢躔罫
圣,径経軽怪茎
在,恠
圭,卦恚畦褂奎佳涯掛幇硅窪崖蛙哇崕珪啀鮭封娃挂閨袿桂街鞋睚罫
坐,挫座蓙
坴,陵陸
垂,睡郵陲錘捶唾
埶,熱
執,贄蟄鷙摯
堂,瞠螳
堅,樫鏗慳鰹
堯,蟯撓饒鐃橈驍繞遶翹澆蕘燒僥嶢磽曉
墨,纒
士,艇妊饐挺橲恁酲続読壹壬衽熹廚詰馨壯檮結磬稠頡惆黠壮贖竇鱚鯛犢莊捨樹拮籌嬉殪續任弉霆儔擣志襭佶屆牘膨擡荏穀姙荘蠧覿讀隷鼓裝澎周涜噎賣纈舎舗痣仕霪凭劼鑄鼕殼薹庭婬憙轂皷殻髻雕桔梃売壽週彫賃吉愨疇鐵鐡奘款躊綢簓蜩蟶装壱凋嘉瞽声聲喜懿壻彭壼袵濤黷廷謦僖誌壺淫壷郢禧臺調
壬,艇妊挺恁酲衽任霆荏姙霪凭庭婬梃賃蟶袵廷淫郢
壮,荘装
壯,莊弉裝奘
声,馨磬聲謦
売,続読涜
壳,殻
壹,饐殪噎懿
壽,檮籌儔擣鑄疇躊濤
夂,梭鮗瞹嶐略閣輅輹終悛複峯畧洛冬靉貉後厦處酪謖復烙縫綾竣各烽禝稷咯柊陵蕗骼窿腹憂拠変麩額薐螽麺蓬落曖唆麪慶駱擱優駿麦苳夊降榎覆麸咎擾処浚麥格麹鑁蝮瓊俊夐夏露篷崚履廈皴鼕条麭珞鷺复隆酸客蜂賂菱愛喀絡鋒馥凌狢愎峻椶蔆恪峰逢挌疼嗄鰒稜絳逡茖路
夅,降
夋,唆俊酸
复,複復腹覆
夏,厦榎廈嗄
夐,瓊
夕,瞬椀宛名磔洌鋺蜿梦列隣鱗掖烈屍殘薨殤殫夘粲銘麟腋苑碗夥歿夙殪死腕斃夢殯儚餮憐侈窗殉蕣殄残移婉例拶殱傑殊鄰殞餐怨舞殆歹殲夛殍殖殃燦夜多燐舛殕液鴛殀舜薤外桀汐冽桝迯酩葬茗豌裂鵺
外,迯
多,夥侈移
夜,掖腋液鵺
夢,儚
大,謨頰奄欹奐攤関添壓摸換冪汰蚕聟鎹獣恩鷄羃美欸契頬罨飫奇帙綺喉蜈券魃篌嶽駄蓁关爨篋峡獻肄槻醫髮騰竢倚蟒喫嶷暎厭祓決撩茵貘瞭茯洟閹刔喬蜘寄奎溪奚套奕奩倏羇妖煥鶏鐐衡畉跨禊嘆挾茣送撚臭綟椅俺糢伏奨奏奔謄太夾驕類碕春秡快泱捩擬莽泰掎纂蕎戻夲踟驀缺渕夫鴦寮繚樊麌墓掩忝慕憖猗雉埼拔失飆夬突鷯嗾秧涙矩遼灘礬礙秦墺犬懊麩庵寞渓軼夭蟆胯映遷揆匏痴蠎潦笶膜蟇侯侠幕癡族央夷窺然陜癸猴鑚榛鯵矧器賛秩鉄状惨燠皋僊英楔猷献麸訣纉昊替氤跋捺擲知莫凝跌嫉潜笑剞怏惷讃夸譛療瑛棒咲鋏咽呑谿矯捧崎銕澳巻嬌鴃舂陝殃天翳姻姨薙鄭佚規轎医矢短霙矮矣儺莢趺浹礇模蠢唳襖殀歎渙蹊奬奥芙騎攅喚獎默漠闃吠暸决因葵畸哭疾黙刳募躑扶燃候燎奘抉躾艱簇獏疑袱輦尖挨靨葢狭輳橋桍漢簒俟俸僑埃難奧奪羹奮嗅朕瓠鏃黶袴畚烟韆挟臻参暮誇獄獸鰆奢奠湊奈攀俣椥魘爽狹菴沃淹鞅智痍袂黻峽筴迭椿僚僣蔟奉
天,関蚕聟鎹欸喉篌关肄醫竢嶷蜘送奏擬踟渕雉嗾矩礙揆痴笶侯癡族癸猴矧昊知凝嫉咲矯翳薙医矢短矮矣葵疾候簇疑挨輳俟埃朕鏃湊俣椥智蔟
太,汰駄葢
夫,攤帙槻鶏畉嘆失灘麩渓軼窺鑚賛秩鉄麸纉替跌潜讃譛佚規儺趺歎芙攅扶艱輦漢難迭僣
夬,決刔快缺訣鴃决抉袂
夭,添飫喬妖驕蕎忝笑呑矯嬌轎殀橋僑沃
央,暎泱鴦秧映英怏瑛殃霙鞅
失,帙軼秩鉄跌佚迭
夲,皋
夷,洟銕姨痍
夸,跨胯匏刳桍瓠袴誇
夹,峡狭挟
夾,頰頬篋挾侠陜鋏莢浹狹峽筴
奄,罨閹俺掩庵菴淹
奇,欹綺倚寄羇椅碕掎猗埼剞崎騎畸
奈,捺
奉,棒捧俸
奏,輳湊
奐,換煥渙喚
契,喫禊楔
奚,鷄溪鶏渓谿蹊
奠,擲鄭躑
奥,襖
奧,墺懊燠澳礇
女,奸妾妊妓褸褄孀綏縷魏嫡娶堰瀛案恕拏妝姆妲始妄宴孃嫖娼娉娵按娠嫣娯嫗妁晏娘嫦娥鮟巍妛妻妨如妖妍藪孅椄悽嫐妃姐姫侫努痿呶嫂婁媚婀駑嬶嬢姥姑姓姪數楼螻樓嫁媼霎媛婚嬉姦髏籔嬬嫋嫌婆櫻棲珱嬰姚姜窶嬲媾媒媽纓嬾嬪委姙嬖餒嚶萎婉佞姿薮屡腰嫉婢鏤数僂嬋婦接萋弩婪嬌姶姻姨婬矮婿要怒偃娚嫻娃嫩桜絮好妥妬妹妙安鞍嫺茹凄威汝娩娜帑倭簍瓔娑逶娟淒縅瘻姉奴妣鰄洳鸚孥
奴,拏努呶駑弩怒帑孥
如,恕絮茹洳
妄,侫
妥,綏餒
妻,褄悽棲萋凄淒
妾,椄霎接
委,魏巍痿萎矮倭逶
威,縅鰄
娚,嫐嬲
婁,褸縷藪數楼螻樓髏籔窶鏤僂簍瘻
嬰,櫻纓嚶瓔鸚
子,孛椁孔享乳桴孕悖孜孩孚俘字暾蜉廓槨燉孝鐓淳艀孑惇孟學酵斿荐潺猛浮李游敦遊塾教蝣拵殍遜仔栫斈渤勃醇孵哮菰吼好季孺熟孳悸厚郛学孤孰孫存鶉郭諄孱孥
孔,吼
存,荐拵栫
孚,乳桴俘蜉艀浮殍孵郛
孛,悖渤勃
孝,酵教哮
孟,猛
季,悸
孤,菰
孫,遜
孰,塾熟
孱,潺
宀,寃綻定聹它宗縮檸狩案暄演綜宍寂椀家宴字宛宏貯按縡宕宜宵騫稼富寅宅完獰疉詫濘晏箜鮟蛇鋺濱宋実蜿宰寄宿謇竚鶴密喧宝淙瀋宇寇綰害椌竇竊窓舘苧寔寛侘塞莞搾鬢紵寡窒穹窰竄窿窟窄粽寮牢浣嫁菅擦駝腟棺樒割鴪寢碗院確竅窩碇突窕寝實寒腔憲賽掟萱搴腕柁寓寧寞穃額殯窶窖舵寥咤擯浤鉈寤寐嬪寫察窃窗竃窺寵審諚婉棕榁榕寨佇陀窪穿踪穽寶鏥諠崇邊淀嚀轄窘竈窯空窈寳館賓邃膣繽究窮穴滓皖寰鴕佗錠控蓿萓蹇客豁瀉誼宮宣倥溶喀糘寉安蜜鞍蓉沱愃檳守熔宸室聢官詑管瞎宙宥容鎔啌豌櫁宦
它,蛇駝柁舵鉈陀鴕佗沱詑
宅,詫侘咤
守,狩
安,案按晏鮟鞍
完,莞浣院皖
宏,浤
宗,綜淙粽棕踪崇
官,綰舘菅棺館管
定,綻碇掟諚淀錠聢
宛,椀鋺蜿碗腕婉豌
宜,萓誼
客,額喀
宣,暄喧萱諠愃
室,腟榁
宰,縡滓
害,割轄豁瞎
家,稼嫁糘
容,穃榕溶蓉熔鎔
宿,縮鏥蓿
寅,演
密,樒
寉,鶴確
寍,寧
察,擦
寧,聹檸獰濘嚀
審,瀋
寫,瀉
寸,蹲專狩畤尉椨簿磚欝恃鋳待蒔蔣醤謝拊廚愽蒋蒄冠檮坿溥罸吋鮒得畴時奨村符麝賻塒樹碍蕁籌鏘腑付腐潯膊討幇陦轉忖儔擣遵府薄鱒柎闘蓐甎鬪辱蓴墫傅傳紂耐樽嚼噂囀涛寺苻対慰搏慱鑄侍耨團附埓寿榑痔特咐埒奬褥獎封壽疇躊蔚肘對専祷団持爵尃梼詩導縛守熨奪俯將縟尊摶峙将濤槫酎溽射等尋博厨漿尅
寺,畤恃待蒔時塒侍痔特持詩峙等
寿,鋳畴陦涛祷梼
封,幇
尃,縛博
射,謝麝
将,醤蒋奨
將,蔣鏘奬獎漿
專,磚轉甎蓴傳囀慱團摶槫
尉,慰蔚熨
尊,蹲遵鱒墫樽噂
尋,蕁潯
小,齋黥縣尠京瞥瀕寂蹙沙徐哨蹴迩畭撩瞭逍凉鈔懸濱椒蔽抄俶椋鐐就途督愿暼鯊袮頻県鬢敝歳寮繚纛餘捗眇弥叙余穆隙鷯屑遼秒斎鼈斃殯斜敍省擯莎塗潦瑣劣嬪除渉弊裟鯨鷲戚杪涼掠紗敘雀渺願顰歩療寳叔賓炒繽幣穢陟諒蘋荼称憬勍緲隲蜍暸影亰原槭燎毟妙珎尖菽祢檳鍄砂尓娑景源淑少僚
少,尠瀕沙鈔濱抄鯊頻鬢捗眇秒殯省擯莎劣嬪渉裟杪紗雀渺顰歩賓炒繽陟蘋緲隲毟妙檳砂娑
尓,迩袮弥寳称珎祢
尚,嘗當嫦廠瞠蟐敞甞裳償掌襠螳幤棠賞礑儻淌厰常鐺蟷党堂黨
尞,寮療
尢,稽蹴就疣尤犹鷲尨肬厖
尤,稽蹴就疣犹鷲尨肬厖
尨,厖
尭,暁焼
就,蹴鷲
尸,尻握君漏尼尉伊尺駅択釈僻桾尽尾倨倔沢跼尿薜屎甓遲潺裙屍幄窟璧屏局裾避展屁踞碾譬侭居屑塀臂屋屐劈屆臀咫壁霹昼昵届属屓殿嬖呎眤擘泥辟襞怩笋犀屡据遅蘗闢屠屈窘癖層慰掘屬訳履癜澱矚崛渥穉羣躄鋸梶蔚鈬輾熨齷檗郡嘱群刷堀囑尹孱
尹,君伊桾裙笋窘羣郡群
尺,駅択釈尽沢侭咫昼呎訳鈬
尼,昵眤泥怩
尽,侭
尾,梶
局,跼
居,倨裾踞据鋸
屈,倔窟掘崛堀
屋,握幄渥齷
屎,屡
屏,塀
展,碾輾
属,嘱
屬,矚囑
屮,溯厥蚩瓲艸逆愬鈍芻蹶鄒塑蕨遡闕純屯趨槊噸邨嗤皺獗蒭雛沌頓朔飩
屯,瓲鈍純噸邨沌頓飩
山,嵒巌嶌豈徽嶄嶐嶋峭輌鎧嵌峠嶽峯嶝揣嶇嵐峡嵋喘柮嶺嶷徴嶂嵩嵜巍妛磑倔綱密嵎鋼祟乢黜嶼峪端催崙巒岻岨岔凱岩岼崘巓覬窟岷繃仙遥炭樒岶嶺薇屹出峇岳崢岾瑶峅岱岑岌岐巖剴圸猯崟岡崋屶辿棡崑瑞惴癌崇澂屈幽拙崖掘崚崎崗杣剛岸岫崕崩両搗咄崛崔岬榿皚謡湍島嵳疝峺嶬満峩揺摧峻峨嵬峰嶢嵯峙嶮朏艷槝糶嵶巉豐微堀汕懲閊峽黴攜
岡,綱鋼棡崗剛
島,搗槝
崔,催摧攜
崩,繃
嵒,癌
巛,獵徑經緇輕輜逕剿鬣鯔痙癰瑙巡莖災樔碯錙腦剄拶勁惱鑞廱頸勦臘脛
川,酬旒醯帯馴蔬州荒訓慌丗流釧駲侃㐬硫滞毓順卅疏棄洲梳琉
州,酬駲洲
巣,剿樔勦
工,筑貢靈徑誣鵐扛髓肛虹箜檮檣經蹉輕橢逕試恐椌攻拭瑳左痙巧軾薔蕁籌巫潯腔儔矼擣磋穩鴻覡差莖噬墻訌膸搓剄槎蛩弑功楕佐隨空隋杢牆墮式鑄勁隱缸惰噐控嗟杠紅穡項嵳跫壽江鞏疇倥頸熕躊汞築筮嵯濤啌尋脛縒嗇槓艢
左,髓橢膸楕佐隨隋墮惰
巨,矩炬秬拒苣鉅渠距
巫,靈誣鵐檣薔覡噬墻牆穡筮嗇艢
差,蹉瑳磋搓槎嗟嵳嵯縒
己,葩饌祀垉熈撰忌熙把鮑靤砲悒囘抱妃苞圏萢包癰耙炮杞胞起遷匏庖巳邑鉋巽笆已紀港僊皰選枹咆巵巴巻杷滬麭泡巷記飽煕改色絶廱扈梔疱肥倦配爬韆琶芭髱艷蚫鞄袍艶雹
巳,饌祀垉熈熙鮑靤囘苞炮匏鉋僊皰枹咆麭煕疱髱蚫袍雹
巴,葩把悒癰耙邑笆巵杷滬色絶廱扈梔肥爬琶芭艷艶
巵,梔
巷,港
巻,圏捲
巽,饌撰選
巾,帽啼箒蒂冪晞啻帳羃帙帥棉逓帰師帯吊嫦閙帷肺蓆箍蟐鰤席綿帶幌幅掃幄幟締匝製唏幇緜楴旆幗幃幎幀幔鯑鬧幕幤珮怖掣霈歸錦凧滯幢婦幣佩滞幡篩諦柿帆帝蔕飾蹄常帋衞帑希稀獅乕菷沛帛欷姉市帖刷制帚布
市,閙肺旆鬧霈柿沛姉
布,晞唏鯑怖希稀欷
希,晞唏鯑稀欷
帚,箒帰掃歸婦菷
帛,棉綿緜錦
帝,啼蒂啻締楴諦蹄
師,鰤篩獅
席,蓆
帯,滞
帶,滯蔕
常,嫦蟐
幕,冪羃
干,奸罕肝刊鮃逹擇睾報悍贄啣刑午垪倖稈扞妍瓶鐸桿坪鼾執幹忤泙岼幸驛譯枅杆屏捍荊澣楠苹併駢餠塀蟄怦訐栞澤繹懌秤圉萍骭軒平献笄餅鷙滸并幵剏杵胼許岸駻遖年研喃絣竿旱釋卸迸評御汗形開型南禦摯
平,鮃坪泙岼苹怦秤萍評
幵,刑妍枅荊餠栞笄研形開型
并,垪瓶屏併駢餠塀餅剏胼絣迸
幸,逹擇睾報贄倖鐸執驛譯蟄澤繹懌圉鷙釋摯
幹,澣
幺,絃爍畿茲饑鷄黝後酳磯蓄擁饗藥溪奚聨郷磁嚮弦壅胤拗蟀鑠樂甕礫響牽麼斷舷轢鉉眩雍繼關幾擽慈櫟幽譏顯窈隰谿呟幼幻蹊衒濕機孳率滋痃畜聯玄
幼,黝拗窈
幾,饑磯譏機
广,廬魔椨廟廐廝縻嘛靡廓簾蹠廚廣糠廖絋廢糜軈砿廛廠摩蓆糖廡席麒麝鉱昿麓麾庇床廊鷓拡鷹腑纏麑麌麟麋腐麿庄廏唐序麻膺曠麕麁麼府庁底庵廁傭康廃広店庚麗応遮礦庖廂鱇庶渡座鹿轆應慶慷度粧庫庸鑛慵塘濂薦廉灑塵麈庠廈驪庭擴蓙儷鏖廰賍漉廱溏磨蔗廳壙俯廩鍍廨躔
広,絋砿鉱昿拡
庄,粧賍
府,椨腑腐俯
度,渡鍍
座,蓙
庶,蹠鷓遮蔗
康,糠鱇慷
庸,傭慵
廉,簾濂
廛,纏躔
廣,曠礦鑛擴壙
廴,艇挺廸鍵健霆莚涎腱庭梃誕延蜑廷建廼筵蜒廻
延,莚涎誕蜑筵蜒
廷,艇挺霆庭梃
建,鍵健腱
廾,誡漕篇借體扁褊彝尭糟飜帯蟒卉囲飛騙聨算彜暁槽艚奔鼾崙腆噴莽纂膿崘惜嬶曹墳展碾鑰丗弉鼻峅儂遭蠎籍弊曲論藉翩穽焼嗣農濃昇弄籥編戒陞耕枡濆弁侖偏滞鱧錯憤丼弃嚊遍措昔諞蝙舁倫廿冊禮典哢升刪鵲醋髷椣卅賁畊輾輪簒軆龠淪豊跚械棄珊醴綸柵棆葬井艶
廿,謀攤鰈柑勘尠懣箝鞠靺韈靭某稘廝嵌堪鞣靴鞭靼蚶蹠酣槿帯篏撕靱鞦其靫厮箕蹣羇蓆鞫鞘席椹帶旗煤斟基戡碁瑾麒甞鷓紺懃紲籏甜丗嚥世憇糂緤拑滿楪楳邯遮霸媒甚庶渡燕度覲蝶甘諜笹覇覊滯鉗牒碪渫滞斯淇儺讌簸朞鞜鞁嘶鞨葉鞴鞏疳蔕満騏艱蔗羈坩期勒祺鞍泄瞞革韃臙湛貰鞳韆靹鞆棋棄喋欺鞐鞄鞋鞅饉棊鍍鍖
弁,峅弃
弄,哢
弋,垈蔵伐鵝誡畿貮韈摑贇贓饑臓臧濺誠鵞蹙義絨淺箋臟晟磯鍼箴撼貸娥閥孅筏黛践試羲武減戉拭戡襪鹹織纎哉曦纖幟戠殘戴戯藏戈踐軾斌歳犠戮戳截幗儀憾繊戲戦識議戰惑岱銭犧咸膩膕籖國戛戔残越莪餞餓杙俄殱戎戚讖幾籤弌弑弐鉞或戍殲譏戒域戝緘式賦棧錢戞戊穢我戌錻轗栽蛾礒賤弍浅代牋戟成鳶賎懺嶬筬鐵鐡蟻鰔槭盞峩馘威懴袋峨機艤城鵡裁械縅職玳蔑熾綫鰄哦感賊貳茂閾載桟喊盛找滅
弍,膩貳
式,試拭軾弑
