kanji,kanjilist
鼠,竄鼬
鼡,猟蝋
鼻,鼾嬶嚊
齊,齋齎齏纃薺儕臍韲擠劑霽躋濟
齒,齟齔齬齲齦齪齧齷齣囓齶齠齡
齧,囓
龍,朧壟龕竜襲蘢篭寵隴籠瓏滝聾瀧槞
龜,龝鬮
龠,鑰籥
𠂤,追阜埠
